epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.837,1.38286,5.53142,0.00793,0,0,0,0,1.10652,5.77651,0.0085,6.426e-05,6.426e-05,6.426e-05
2,346.433,1.33858,5.37818,0.00753,0,0,0,0,1.07987,5.73656,0.00807,6.67054e-05,6.67054e-05,6.67054e-05
