epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.303,1.52914,4.1668,0.01831,0.41581,0.34708,0.29368,0.14398,1.80475,2.42237,0.03255,0.000416111,0.000416111,0.000416111
2,746.152,1.53206,2.738,0.01838,0.48937,0.44719,0.4238,0.17948,1.94857,1.95572,0.0345,0.000816289,0.000816289,0.000816289
3,1067.15,1.5519,2.42638,0.01853,0.61169,0.5925,0.5906,0.31241,1.77402,1.65924,0.03159,0.00119997,0.00119997,0.00119997
4,1369.08,1.54093,2.28647,0.01816,0.67038,0.6157,0.64773,0.36528,1.7276,1.4096,0.0296,0.00117575,0.00117575,0.00117575
5,1661.49,1.50232,2.14221,0.01781,0.59949,0.6418,0.62127,0.36626,1.63771,1.3696,0.02778,0.001151,0.001151,0.001151
6,1954.21,1.487,2.08507,0.01747,0.64635,0.69089,0.69367,0.41286,1.60245,1.2512,0.0275,0.00112625,0.00112625,0.00112625
7,2246.32,1.46748,2.02859,0.01728,0.71762,0.66647,0.71286,0.42757,1.58087,1.1664,0.02669,0.0011015,0.0011015,0.0011015
8,2537.07,1.44816,1.98432,0.0169,0.68371,0.70867,0.71774,0.42564,1.55357,1.1501,0.02619,0.00107675,0.00107675,0.00107675
9,2826.31,1.4264,1.94775,0.01663,0.71608,0.68928,0.74124,0.44729,1.55361,1.12489,0.02671,0.001052,0.001052,0.001052
10,3121.07,1.41189,1.9085,0.01642,0.72682,0.64828,0.71664,0.4411,1.57654,1.13367,0.02609,0.00102725,0.00102725,0.00102725
11,3411.3,1.4013,1.87132,0.01629,0.75269,0.68104,0.75175,0.47199,1.47507,1.05594,0.02413,0.0010025,0.0010025,0.0010025
12,3700.12,1.39295,1.86161,0.01617,0.72746,0.70854,0.75665,0.46187,1.50019,1.04786,0.02495,0.00097775,0.00097775,0.00097775
13,3989.26,1.37781,1.82256,0.01586,0.75497,0.69081,0.74657,0.47553,1.46946,1.04664,0.0243,0.000953,0.000953,0.000953
14,4278.95,1.35603,1.79372,0.01558,0.73381,0.69864,0.73929,0.48023,1.43912,1.01719,0.0237,0.00092825,0.00092825,0.00092825
15,4569.31,1.35326,1.77803,0.01561,0.72421,0.75426,0.76518,0.49217,1.42533,0.98981,0.02338,0.0009035,0.0009035,0.0009035
