epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,4862.17,1.34875,1.77392,0.01548,0.74231,0.69622,0.75794,0.495,1.41296,0.9904,0.02321,0.00087875,0.00087875,0.00087875
17,5155.64,1.34021,1.74661,0.01528,0.76005,0.7141,0.77096,0.51305,1.38565,0.95321,0.02245,0.000854,0.000854,0.000854
18,5445.19,1.33559,1.74624,0.01526,0.76487,0.70975,0.76573,0.49391,1.43097,0.98599,0.02343,0.00082925,0.00082925,0.00082925
19,5733.95,1.32257,1.71876,0.01514,0.73493,0.73736,0.77468,0.50784,1.37727,0.94841,0.02246,0.0008045,0.0008045,0.0008045
20,6023.52,1.30712,1.69617,0.01478,0.7326,0.76417,0.78035,0.51935,1.35071,0.94478,0.02191,0.00077975,0.00077975,0.00077975
21,6313.95,1.30302,1.67912,0.0148,0.75216,0.74875,0.79119,0.52945,1.36316,0.91384,0.02234,0.000755,0.000755,0.000755
22,6605.03,1.29918,1.68008,0.01474,0.77597,0.73223,0.78682,0.51914,1.38575,0.90215,0.0224,0.00073025,0.00073025,0.00073025
23,6896.71,1.29142,1.67095,0.01469,0.78091,0.74934,0.78889,0.52631,1.37312,0.92332,0.0221,0.0007055,0.0007055,0.0007055
24,7182.92,1.28062,1.65048,0.01447,0.77342,0.73439,0.78943,0.52436,1.33706,0.93752,0.02143,0.00068075,0.00068075,0.00068075
25,7469.53,1.26886,1.64327,0.01437,0.77761,0.74539,0.79559,0.52845,1.33501,0.90417,0.02125,0.000656,0.000656,0.000656
26,7755.68,1.26828,1.62746,0.01423,0.76142,0.76326,0.80115,0.54298,1.30492,0.89585,0.0209,0.00063125,0.00063125,0.00063125
27,8032.65,1.26382,1.62738,0.01423,0.77814,0.75823,0.80359,0.54671,1.27789,0.88708,0.02023,0.0006065,0.0006065,0.0006065
28,8320.15,1.2564,1.6091,0.01409,0.75705,0.75665,0.79225,0.54205,1.29664,0.89378,0.02038,0.00058175,0.00058175,0.00058175
29,8598.11,1.24752,1.6011,0.01406,0.77197,0.76053,0.79772,0.54239,1.32421,0.88642,0.02091,0.000557,0.000557,0.000557
30,8871.13,1.23659,1.57819,0.01386,0.75705,0.75861,0.79835,0.546,1.32096,0.882,0.02074,0.00053225,0.00053225,0.00053225
31,9143.31,1.23716,1.58167,0.01384,0.77245,0.76745,0.80514,0.55226,1.28193,0.86312,0.02028,0.0005075,0.0005075,0.0005075
32,9417.12,1.22622,1.56888,0.01374,0.74111,0.79386,0.80436,0.55067,1.30328,0.87015,0.02043,0.00048275,0.00048275,0.00048275
33,9690.8,1.2185,1.55804,0.01359,0.78404,0.76089,0.81103,0.56193,1.27877,0.84464,0.02013,0.000458,0.000458,0.000458
34,9966.24,1.21991,1.56085,0.01353,0.7546,0.79279,0.81004,0.56526,1.26082,0.85288,0.01973,0.00043325,0.00043325,0.00043325
35,10247.5,1.20364,1.53665,0.0135,0.75762,0.77691,0.81161,0.55963,1.29039,0.83862,0.02034,0.0004085,0.0004085,0.0004085
36,10525.4,1.20929,1.5405,0.01353,0.77446,0.76488,0.81166,0.56302,1.27141,0.86183,0.01996,0.00038375,0.00038375,0.00038375
37,10799.5,1.20235,1.53325,0.01341,0.77853,0.76164,0.81719,0.57191,1.24228,0.84131,0.01951,0.000359,0.000359,0.000359
38,11074.8,1.20045,1.53117,0.01338,0.75935,0.78815,0.81124,0.56577,1.24211,0.84074,0.01947,0.00033425,0.00033425,0.00033425
39,11349,1.1921,1.5183,0.01319,0.7776,0.76843,0.81754,0.57505,1.24093,0.83524,0.01945,0.0003095,0.0003095,0.0003095
40,11622.1,1.18181,1.51323,0.01314,0.76383,0.79027,0.81579,0.56785,1.24676,0.83702,0.01944,0.00028475,0.00028475,0.00028475
41,11881.4,1.16107,1.28019,0.01594,0.77863,0.78597,0.81924,0.57897,1.22184,0.82557,0.01903,0.00026,0.00026,0.00026
42,12147.6,1.14849,1.24385,0.01578,0.77721,0.78014,0.8194,0.57881,1.22363,0.82664,0.01904,0.00023525,0.00023525,0.00023525
43,12406.8,1.13881,1.23655,0.01554,0.76793,0.78446,0.81826,0.58169,1.21878,0.81843,0.0189,0.0002105,0.0002105,0.0002105
44,12664.8,1.13376,1.21353,0.0154,0.78989,0.77457,0.81623,0.58266,1.21044,0.81385,0.01883,0.00018575,0.00018575,0.00018575
45,12923.4,1.13142,1.21073,0.01536,0.80035,0.77154,0.81964,0.58674,1.19902,0.80874,0.01864,0.000161,0.000161,0.000161
46,13183.1,1.12157,1.20095,0.01522,0.78492,0.77806,0.82058,0.58654,1.20806,0.80279,0.01884,0.00013625,0.00013625,0.00013625
47,13442,1.11232,1.20137,0.01521,0.78318,0.77844,0.82004,0.58692,1.20728,0.79894,0.01879,0.0001115,0.0001115,0.0001115
48,13700.7,1.11077,1.18521,0.01506,0.79408,0.77039,0.82134,0.58587,1.20779,0.80054,0.01873,8.675e-05,8.675e-05,8.675e-05
49,13963.8,1.10774,1.17809,0.01502,0.80106,0.76425,0.82233,0.58868,1.20457,0.80257,0.01869,6.2e-05,6.2e-05,6.2e-05
50,14220.5,1.10113,1.18153,0.01493,0.78962,0.77337,0.82126,0.58767,1.2014,0.79967,0.01861,3.725e-05,3.725e-05,3.725e-05
